part_id,owner,category,material,quantity,candidate_part_number,thread,length_mm,fastener_form,CAD_envelope_mm,action,STEP,STL,note
r_yaw_carriage,clavicle_r.protract_frame,加工金属,aluminum_7075,1,,,,,25.0 x 28.367 x 68.05,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_yaw_carriage.step,,"Machined yaw carriage, keyed D4 end and two original elevation bearings; bolt-on G4 reaction plate support; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
r_flex_bush_-36.5,clavicle_r,加工塑料,pom,1,,,,,5.0 x 8.0 x 8.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_flex_bush_-36.5.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_flex_bush_-27.5,clavicle_r,加工塑料,pom,1,,,,,5.0 x 8.0 x 8.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_flex_bush_-27.5.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_clavicle_output_frame,clavicle_r,加工金属,aluminum_7075,1,,,,,41.5 x 56.386 x 57.12,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_clavicle_output_frame.step,,"Machined clavicle link, D4 middle key transfers elevation torque, M2 radial retainer; original shoulder centre preserved; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
r_abduct_bush_-20.5,upperarm_r.flex_frame,加工塑料,pom,1,,,,,5.0 x 6.0 x 6.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_abduct_bush_-20.5.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_abduct_bush_20.5,upperarm_r.flex_frame,加工塑料,pom,1,,,,,5.0 x 8.0 x 8.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_abduct_bush_20.5.step,,"Machined POM-C plain sleeve. CAD is installed/compressed state; free OD is +0.030 +/-0.005 mm above nominal, housing bore +0.000..+0.010. Finish running bore after installation. No clutch axial preload. Pull-out and thermal qualification required."
r_flex_ring,upperarm_r.flex_frame,加工金属,aluminum_7075,1,,,,,32.0 x 42.0 x 77.895,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_flex_ring.step,,"Rev J removable split metal drive hub; flange fixed with two M2 screws, nut pockets and tool relief; strain/creep not verified; 7075-T6 metal candidate required for reamed interference-fit radial bush seats; no PLA press-fit claim; reamed press-fit sleeve seat, see retained_bushes manifest; reamed press-fit sleeve seat, see retained_bushes manifest"
r_abduct_ring_and_twist_seat,upperarm_r.abduct_frame,加工金属,aluminum_7075,1,,,,,20.645 x 28.0 x 31.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_abduct_ring_and_twist_seat.step,,"Machined metal shoulder abduction ring and twist reaction face; top thrust face Z5.5, radial bush does not carry preload; integral positive travel stops; D6.04 nominal sleeve seat and captured D7.4 lower flange; outer friction contact radius increased to 10 mm"
r_twist_bush,upperarm_r.abduct_frame,加工塑料,pom,1,,,,,7.4 x 7.4 x 13.8,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_twist_bush.step,,"Flanged POM-C D6 sleeve, D4.06 running bore; D7.4 x0.8 flange trapped between lining top -9 and housing shoulder -8. Nominal axial float .2 mm."
r_twist_rotor_face,upperarm_r,加工金属,aluminum_7075,1,,,,,2.8 x 20.0 x 20.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_twist_rotor_face.step,,Positive D4 drive; axial spring force reacts into the fixed metal shoulder seat; integral travel tab reacts directly into bearing frame; outer friction contact radius increased to 10 mm
r_twist_lining,upperarm_r.abduct_frame,加工塑料,peek,1,,,,,1.0 x 20.0 x 20.0,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_twist_lining.step,,"; unfilled PEEK ring R3.15..10, dry contact candidate"
r_arm_upperarm_shell_front,upperarm_r,打印,shell,1,,,,,23.098 x 50.011 x 60.171,PLA 候选，按随件 STL 和切片复核要求,parts/r_arm_upperarm_shell_front.step,print_candidates/r_arm_upperarm_shell_front.stl,"1.8 mm partial rigid arm cover; two M2x20 through captive rear nuts into closed centreline rail lugs; front straight hex access, remove before servicing joints; pose clearance sampled digitally"
r_arm_upperarm_shell_back,upperarm_r,打印,shell,1,,,,,26.9 x 50.247 x 67.276,PLA 候选，按随件 STL 和切片复核要求,parts/r_arm_upperarm_shell_back.step,print_candidates/r_arm_upperarm_shell_back.stl,"1.8 mm partial rigid arm cover; two M2x20 through captive rear nuts into closed centreline rail lugs; front straight hex access, remove before servicing joints; pose clearance sampled digitally"
l_flex_clutch_flanged_shaft,upperarm_l.flex_frame,加工金属,aluminum_7075,1,,,,,27.0 x 27.0 x 33.376,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_flex_clutch_flanged_shaft.step,,"Custom steel 6 mm journal; integral flange, inner D drive, outer D cap seat, two M3 blind threads; integral travel tab reacts directly into bearing frame"
l_flex_clutch_keyed_lining,clavicle_l,加工塑料,peek,1,,,,,1.0 x 25.0 x 27.2,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_flex_clutch_keyed_lining.step,,"1 mm replaceable lining; coefficient and wear unqualified; inner radius 6.8 mm leaves a 0.3 mm radial clearance to protected inner travel tabs; unfilled machined PEEK candidate, dry contact; actual torque and creep must be qualified"
l_flex_clutch_reaction_plate,clavicle_l,加工金属,aluminum_7075,1,,,,,4.0 x 27.4 x 42.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_flex_clutch_reaction_plate.step,,"3 mm steel reaction plate with keyed lining recess and two M3 frame mounts; spring thrust closes through plate; Rev L two M2 through pilot bores at +/-11.9 for separate brass sensor standoffs; 1.0 mm minimum radial ligament; integral positive travel stops; D14.50 x0.85 upper retaining counterbore, flat Z3.15"
l_flex_clutch_radial_bush,clavicle_l,加工塑料,pom,1,,,,,2.8 x 14.4 x 14.4,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_flex_clutch_radial_bush.step,,"POM radial guide, clear of thrust faces; press fit/retention pending; D14.40 x0.70 flange at Z3.20..3.90, captured below thrust washer Z4.00; 0.15 total nominal axial float"
l_flex_clutch_thrust_washer,clavicle_l,采购标准件,thrust,1,PCMW 102001.5 E,,,,1.5 x 20.0 x 20.0,SKF PCMW 102001.5 E；以当前 STEP 尺寸核对,parts/l_flex_clutch_thrust_washer.step,,SKF dimension candidate; PTFE face towards rotating spring seat; washer retention pending
l_flex_clutch_spring_seat,upperarm_l.flex_frame,加工金属,metal,1,,,,,0.5 x 20.0 x 20.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_flex_clutch_spring_seat.step,,Steel spring seat; thrust washer separates rotation from fixed reaction plate
l_flex_clutch_disc_spring_a,upperarm_l.flex_frame,采购碟簧,spring,1,SCHNORR 002200,,,,0.688 x 12.0 x 12.0,按弹簧型号和装配方向，不按 CAD 色彩选型,parts/l_flex_clutch_disc_spring_a.step,,SCHNORR 002 200 dimensional candidate at catalog test height
l_flex_clutch_disc_spring_b,upperarm_l.flex_frame,采购碟簧,spring,1,SCHNORR 002200,,,,0.688 x 12.0 x 12.0,按弹簧型号和装配方向，不按 CAD 色彩选型,parts/l_flex_clutch_disc_spring_b.step,,Opposed pair in series: force is not doubled
l_flex_clutch_keyed_stop_cap,upperarm_l.flex_frame,加工金属,aluminum,1,,,,,3.0 x 12.8 x 14.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_flex_clutch_keyed_stop_cap.step,,Rev L aluminum stop cap retains original metal stop heights and adds outside D flat for magnet cup; local contact stress and fatigue unqualified
l_flex_clutch_outer_M3x8,upperarm_l.flex_frame,采购紧固件,titanium,1,SSB-M3-8-TI5,M3,8,button_head,5.7 x 5.7 x 9.65,按螺纹、长度、材料和实际头部包络一起核对,parts/l_flex_clutch_outer_M3x8.step,,"Rev L M3x8 titanium Grade 5 button screw dimension candidate (Accu SSB-M3-8-TI5); cylindrical head envelope 5.7 x 1.65, 2 mm hex, strength/procurement not released"
l_flex_clutch_drive_retainer_washer,upperarm_l.flex_frame,加工金属,metal,1,,,,,1.0 x 10.0 x 10.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_flex_clutch_drive_retainer_washer.step,,Separate washer retains D drive in printed output hub
l_flex_clutch_inner_M3x8,upperarm_l.flex_frame,采购紧固件,fastener,1,,M3,8,button_head,5.7 x 5.7 x 9.65,按螺纹、长度、材料和实际头部包络一起核对,parts/l_flex_clutch_inner_M3x8.step,,"M3x8 ISO7380-1 low-profile button screw, 1.65 mm nominal head height; independent output-hub retention, no spring adjustment"
l_flex_clutch_mount_M3x10_0,clavicle_l,采购紧固件,fastener,1,,M3,10,screw_head_to_drawing,5.5 x 5.5 x 13.0,按螺纹、长度、材料和实际头部包络一起核对,parts/l_flex_clutch_mount_M3x10_0.step,,Reaction plate to printed support; simplified thread
l_flex_clutch_mount_M3_nut_0,clavicle_l,采购紧固件,fastener,1,,M3,,hex_nut,2.4 x 5.5 x 6.351,按螺纹、长度、材料和实际头部包络一起核对,parts/l_flex_clutch_mount_M3_nut_0.step,,"Captured hex nut, accessible from inside of support"
l_flex_clutch_mount_M3x10_1,clavicle_l,采购紧固件,fastener,1,,M3,10,screw_head_to_drawing,5.5 x 5.5 x 13.0,按螺纹、长度、材料和实际头部包络一起核对,parts/l_flex_clutch_mount_M3x10_1.step,,Reaction plate to printed support; simplified thread
l_flex_clutch_mount_M3_nut_1,clavicle_l,采购紧固件,fastener,1,,M3,,hex_nut,2.4 x 5.5 x 6.351,按螺纹、长度、材料和实际头部包络一起核对,parts/l_flex_clutch_mount_M3_nut_1.step,,"Captured hex nut, accessible from inside of support"
l_abduct_clutch_flanged_shaft,upperarm_l.abduct_frame,加工金属,aluminum_7075,1,,,,,25.376 x 27.0 x 27.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_abduct_clutch_flanged_shaft.step,,"Custom steel 6 mm journal; integral flange, inner D drive, outer D cap seat, two M3 blind threads; integral travel tab reacts directly into bearing frame"
l_abduct_clutch_keyed_lining,upperarm_l.flex_frame,加工塑料,peek,1,,,,,1.0 x 25.0 x 27.2,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_abduct_clutch_keyed_lining.step,,"1 mm replaceable lining; coefficient and wear unqualified; inner radius 6.8 mm leaves a 0.3 mm radial clearance to protected inner travel tabs; unfilled machined PEEK candidate, dry contact; actual torque and creep must be qualified"
l_abduct_clutch_reaction_plate,upperarm_l.flex_frame,加工金属,aluminum_7075,1,,,,,4.0 x 27.4 x 42.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_abduct_clutch_reaction_plate.step,,"3 mm steel reaction plate with keyed lining recess and two M3 frame mounts; spring thrust closes through plate; integral positive travel stops; D14.50 x0.85 upper retaining counterbore, flat Z3.15"
l_abduct_clutch_radial_bush,upperarm_l.flex_frame,加工塑料,pom,1,,,,,2.8 x 14.4 x 14.4,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/l_abduct_clutch_radial_bush.step,,"POM radial guide, clear of thrust faces; press fit/retention pending; D14.40 x0.70 flange at Z3.20..3.90, captured below thrust washer Z4.00; 0.15 total nominal axial float"
l_abduct_clutch_thrust_washer,upperarm_l.flex_frame,采购标准件,thrust,1,PCMW 102001.5 E,,,,1.5 x 20.0 x 20.0,SKF PCMW 102001.5 E；以当前 STEP 尺寸核对,parts/l_abduct_clutch_thrust_washer.step,,SKF dimension candidate; PTFE face towards rotating spring seat; washer retention pending
l_abduct_clutch_spring_seat,upperarm_l.abduct_frame,加工金属,metal,1,,,,,0.5 x 20.0 x 20.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_abduct_clutch_spring_seat.step,,Steel spring seat; thrust washer separates rotation from fixed reaction plate
l_abduct_clutch_disc_spring_a,upperarm_l.abduct_frame,采购碟簧,spring,1,SCHNORR 002200,,,,0.688 x 12.0 x 12.0,按弹簧型号和装配方向，不按 CAD 色彩选型,parts/l_abduct_clutch_disc_spring_a.step,,SCHNORR 002 200 dimensional candidate at catalog test height
l_abduct_clutch_disc_spring_b,upperarm_l.abduct_frame,采购碟簧,spring,1,SCHNORR 002200,,,,0.688 x 12.0 x 12.0,按弹簧型号和装配方向，不按 CAD 色彩选型,parts/l_abduct_clutch_disc_spring_b.step,,Opposed pair in series: force is not doubled
l_abduct_clutch_keyed_stop_cap,upperarm_l.abduct_frame,加工金属,metal,1,,,,,3.0 x 14.0 x 14.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_abduct_clutch_keyed_stop_cap.step,,D key follows shaft; cap seats on metal shaft end; shim selection/retention and backlash need physical validation
l_abduct_clutch_outer_M3x8,upperarm_l.abduct_frame,采购紧固件,fastener,1,,M3,8,screw_head_to_drawing,5.5 x 5.5 x 11.0,按螺纹、长度、材料和实际头部包络一起核对,parts/l_abduct_clutch_outer_M3x8.step,,"Simplified thread envelope; axial cap retention, not hand tightness setting"
l_abduct_clutch_drive_retainer_washer,upperarm_l.abduct_frame,加工金属,metal,1,,,,,1.0 x 10.0 x 10.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/l_abduct_clutch_drive_retainer_washer.step,,Separate washer retains D drive in printed output hub
l_abduct_clutch_inner_M3x8,upperarm_l.abduct_frame,采购紧固件,fastener,1,,M3,8,screw_head_to_drawing,5.5 x 5.5 x 11.0,按螺纹、长度、材料和实际头部包络一起核对,parts/l_abduct_clutch_inner_M3x8.step,,Independent output-hub retention; does not set clutch spring compression
l_abduct_clutch_mount_M3x10_0,upperarm_l.flex_frame,采购紧固件,fastener,1,,M3,10,screw_head_to_drawing,5.5 x 5.5 x 13.0,按螺纹、长度、材料和实际头部包络一起核对,parts/l_abduct_clutch_mount_M3x10_0.step,,Reaction plate to printed support; simplified thread
l_abduct_clutch_mount_M3_nut_0,upperarm_l.flex_frame,采购紧固件,fastener,1,,M3,,hex_nut,2.4 x 5.5 x 6.351,按螺纹、长度、材料和实际头部包络一起核对,parts/l_abduct_clutch_mount_M3_nut_0.step,,"Captured hex nut, accessible from inside of support"
l_abduct_clutch_mount_M3x10_1,upperarm_l.flex_frame,采购紧固件,fastener,1,,M3,10,screw_head_to_drawing,5.5 x 5.5 x 13.0,按螺纹、长度、材料和实际头部包络一起核对,parts/l_abduct_clutch_mount_M3x10_1.step,,Reaction plate to printed support; simplified thread
l_abduct_clutch_mount_M3_nut_1,upperarm_l.flex_frame,采购紧固件,fastener,1,,M3,,hex_nut,2.4 x 5.5 x 6.351,按螺纹、长度、材料和实际头部包络一起核对,parts/l_abduct_clutch_mount_M3_nut_1.step,,"Captured hex nut, accessible from inside of support"
r_flex_clutch_flanged_shaft,upperarm_r.flex_frame,加工金属,aluminum_7075,1,,,,,27.0 x 27.0 x 33.376,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_flex_clutch_flanged_shaft.step,,"Custom steel 6 mm journal; integral flange, inner D drive, outer D cap seat, two M3 blind threads; integral travel tab reacts directly into bearing frame"
r_flex_clutch_keyed_lining,clavicle_r,加工塑料,peek,1,,,,,1.0 x 25.0 x 27.2,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_flex_clutch_keyed_lining.step,,"1 mm replaceable lining; coefficient and wear unqualified; inner radius 6.8 mm leaves a 0.3 mm radial clearance to protected inner travel tabs; unfilled machined PEEK candidate, dry contact; actual torque and creep must be qualified"
r_flex_clutch_reaction_plate,clavicle_r,加工金属,aluminum_7075,1,,,,,4.0 x 27.4 x 42.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_flex_clutch_reaction_plate.step,,"3 mm steel reaction plate with keyed lining recess and two M3 frame mounts; spring thrust closes through plate; Rev L two M2 through pilot bores at +/-11.9 for separate brass sensor standoffs; 1.0 mm minimum radial ligament; integral positive travel stops; D14.50 x0.85 upper retaining counterbore, flat Z3.15"
r_flex_clutch_radial_bush,clavicle_r,加工塑料,pom,1,,,,,2.8 x 14.4 x 14.4,POM-C / 未填充 PEEK / PA12 按材质分别加工；薄件不等同 PLA 打印,parts/r_flex_clutch_radial_bush.step,,"POM radial guide, clear of thrust faces; press fit/retention pending; D14.40 x0.70 flange at Z3.20..3.90, captured below thrust washer Z4.00; 0.15 total nominal axial float"
r_flex_clutch_thrust_washer,clavicle_r,采购标准件,thrust,1,PCMW 102001.5 E,,,,1.5 x 20.0 x 20.0,SKF PCMW 102001.5 E；以当前 STEP 尺寸核对,parts/r_flex_clutch_thrust_washer.step,,SKF dimension candidate; PTFE face towards rotating spring seat; washer retention pending
r_flex_clutch_spring_seat,upperarm_r.flex_frame,加工金属,metal,1,,,,,0.5 x 20.0 x 20.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_flex_clutch_spring_seat.step,,Steel spring seat; thrust washer separates rotation from fixed reaction plate
r_flex_clutch_disc_spring_a,upperarm_r.flex_frame,采购碟簧,spring,1,SCHNORR 002200,,,,0.688 x 12.0 x 12.0,按弹簧型号和装配方向，不按 CAD 色彩选型,parts/r_flex_clutch_disc_spring_a.step,,SCHNORR 002 200 dimensional candidate at catalog test height
r_flex_clutch_disc_spring_b,upperarm_r.flex_frame,采购碟簧,spring,1,SCHNORR 002200,,,,0.688 x 12.0 x 12.0,按弹簧型号和装配方向，不按 CAD 色彩选型,parts/r_flex_clutch_disc_spring_b.step,,Opposed pair in series: force is not doubled
r_flex_clutch_keyed_stop_cap,upperarm_r.flex_frame,加工金属,aluminum,1,,,,,3.0 x 12.8 x 14.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_flex_clutch_keyed_stop_cap.step,,Rev L aluminum stop cap retains original metal stop heights and adds outside D flat for magnet cup; local contact stress and fatigue unqualified
r_flex_clutch_outer_M3x8,upperarm_r.flex_frame,采购紧固件,titanium,1,SSB-M3-8-TI5,M3,8,button_head,5.7 x 5.7 x 9.65,按螺纹、长度、材料和实际头部包络一起核对,parts/r_flex_clutch_outer_M3x8.step,,"Rev L M3x8 titanium Grade 5 button screw dimension candidate (Accu SSB-M3-8-TI5); cylindrical head envelope 5.7 x 1.65, 2 mm hex, strength/procurement not released"
r_flex_clutch_drive_retainer_washer,upperarm_r.flex_frame,加工金属,metal,1,,,,,1.0 x 10.0 x 10.0,按 STEP 加工并检验配合；复杂框架先反馈 DFM,parts/r_flex_clutch_drive_retainer_washer.step,,Separate washer retains D drive in printed output hub
